MAC Address,Vendor,IP Address,TCP Ports,UDP Ports,First Seen,Last Seen,Packet Count
d8:bb:c1:cf:9b:7d,"Micro-Star INTL CO., LTD.",172.16.16.214,"2130,2488,2492,2828,3103,3240,3997,4772,4774,4837,5163,5397,5407,5409,5415,5416,5418,5453,5460,5461,5462,5463,5464,5479,5480,5485,5494,5495,5499,5501,5509,5510,5513,5520,5536,5540,5571,5614,5625,5626,5638,5643,5654,5671,5674,5675,5676,5677,5679,5680,5681,5682,5683,5684,5685,5686,64217,64262,64322,64383,64414,64415,64416,64691,64697,64698,64699,65175,65176,65426,65431","51023,54404,54533,54755,56015,56985,59237,60474,61690,62781,63095,63303,63696",1742153139.631635,1742153187.470084,1492
dc:e5:5b:42:dd:8c,"Google, Inc.",172.16.16.221,8009,,1742153139.631635,1742153185.816164,80
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",108.177.121.101,,443,1742153139.833159,1742153181.608321,72
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",151.101.1.140,443,443,1742153140.037258,1742153176.618946,59
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",173.194.64.95,,443,1742153140.787279,1742153185.283012,52
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",142.251.184.95,443,,1742153141.195018,1742153171.234906,4
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",54.197.142.128,443,,1742153142.001452,1742153172.001062,9
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",44.211.1.198,443,,1742153143.444689,1742153158.413062,11
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",3.210.54.212,22543,,1742153143.585419,1742153143.694624,4
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",209.85.145.95,443,443,1742153144.710779,1742153186.793903,56
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",173.194.194.95,443,,1742153145.246791,1742153185.926542,6
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",3.233.158.25,443,,1742153145.774194,1742153145.774451,2
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",99.83.165.34,443,,1742153145.837996,1742153163.353945,10
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",172.105.97.53,443,,1742153146.402985,1742153186.456779,10
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",52.205.234.202,443,,1742153146.632871,1742153153.481429,80
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",52.6.190.163,443,,1742153146.739028,1742153176.740364,6
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",151.101.65.140,443,,1742153146.806364,1742153160.851016,4
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",38.126.163.2,32400,,1742153147.661169,1742153177.706613,8
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",142.250.125.103,,443,1742153148.425751,1742153148.534043,18
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",50.16.18.132,443,,1742153148.923281,1742153178.994657,16
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",75.101.157.36,443,,1742153151.667904,1742153181.66771,6
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",1.1.1.1,,53,1742153153.436645,1742153166.31381,14
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",54.210.245.162,443,,1742153153.458782,1742153164.567159,418
e8:ed:d6:0b:36:c4,"Fortinet, Inc.",136.143.186.36,443,,1742153154.386494,1742153174.503801,8
