Source IP,Source MAC,Source TCP Port,Source UDP Port,Target IP,Target MAC,Target TCP Port,Target UDP Port,Protocol,Application Protocol,Packets A->B,Packets B->A,Bytes A->B,Bytes B->A,First Seen,Last Seen,Duration (seconds),Conversation Status,TCP Flags,Stream ID,Frame Protocols,VLAN ID,DiffServ Field,IP Version
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.9,58:bf:ea:be:b3:80,,50350,UDP,DATA,1,0,127,0,2019-02-24T02:21:52.876757,2019-02-24T02:21:52.876757,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.9,58:bf:ea:be:ad:80,,50616,UDP,DATA,1,0,127,0,2019-02-24T02:21:53.190742,2019-02-24T02:21:53.190742,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.10,58:bf:ea:be:b3:80,,52588,UDP,DATA,1,0,127,0,2019-02-24T02:21:55.706956,2019-02-24T02:21:55.706956,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.7,58:bf:ea:be:ad:80,,63589,UDP,DATA,1,0,127,0,2019-02-24T02:21:55.849218,2019-02-24T02:21:55.849218,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.10,58:bf:ea:be:ad:80,,52856,UDP,DATA,1,0,127,0,2019-02-24T02:21:56.003196,2019-02-24T02:21:56.003196,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.7,58:bf:ea:be:b3:80,,63855,UDP,DATA,1,0,127,0,2019-02-24T02:21:56.153202,2019-02-24T02:21:56.153202,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.11,58:bf:ea:be:ad:80,,59208,UDP,DATA,1,0,127,0,2019-02-24T02:21:59.942986,2019-02-24T02:21:59.942986,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.11,58:bf:ea:be:b3:80,,59473,UDP,DATA,1,0,127,0,2019-02-24T02:22:00.239913,2019-02-24T02:22:00.239913,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.12,58:bf:ea:be:b3:80,,57755,UDP,DATA,1,0,127,0,2019-02-24T02:22:06.369975,2019-02-24T02:22:06.369975,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.12,58:bf:ea:be:b3:80,,58021,UDP,DATA,1,0,127,0,2019-02-24T02:22:06.703020,2019-02-24T02:22:06.703020,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.13,58:bf:ea:be:b3:80,,58342,UDP,DATA,1,0,127,0,2019-02-24T02:22:08.717053,2019-02-24T02:22:08.717053,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.13,58:bf:ea:be:b3:80,,58607,UDP,DATA,1,0,127,0,2019-02-24T02:22:09.033767,2019-02-24T02:22:09.033767,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.14,58:bf:ea:be:b3:80,,61349,UDP,DATA,1,0,127,0,2019-02-24T02:22:12.647494,2019-02-24T02:22:12.647494,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.14,58:bf:ea:be:b3:80,,61616,UDP,DATA,1,0,127,0,2019-02-24T02:22:12.955615,2019-02-24T02:22:12.955615,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.8,58:bf:ea:be:ad:80,,49572,UDP,DATA,1,0,127,0,2019-02-24T02:22:15.776106,2019-02-24T02:22:15.776106,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.8,58:bf:ea:be:b3:80,,49836,UDP,DATA,1,0,127,0,2019-02-24T02:22:16.085534,2019-02-24T02:22:16.085534,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.9,58:bf:ea:be:b3:80,,51017,UDP,DATA,1,0,127,0,2019-02-24T02:22:22.876847,2019-02-24T02:22:22.876847,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.9,58:bf:ea:be:ad:80,,51290,UDP,DATA,1,0,127,0,2019-02-24T02:22:23.215081,2019-02-24T02:22:23.215081,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.10,58:bf:ea:be:b3:80,,57234,UDP,DATA,1,0,127,0,2019-02-24T02:22:25.707243,2019-02-24T02:22:25.707243,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.137,00:40:9d:4b:2a:37,,51243,10.47.178.7,58:bf:ea:be:b3:80,,64260,UDP,DATA,1,0,127,0,2019-02-24T02:22:25.849980,2019-02-24T02:22:25.849980,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.10,58:bf:ea:be:b3:80,,57498,UDP,DATA,1,0,127,0,2019-02-24T02:22:26.033211,2019-02-24T02:22:26.033211,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
10.128.240.225,00:40:9d:67:41:87,,51243,10.47.178.7,58:bf:ea:be:ad:80,,64524,UDP,DATA,1,0,127,0,2019-02-24T02:22:26.177123,2019-02-24T02:22:26.177123,,no-response,,,"eth,ethertype,vlan,ip,udp,data",240,0x00,4
