MAC Address,Vendor,IP Address,TCP Ports,UDP Ports,First Seen,Last Seen,Packet Count
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.9,61622,"49236,49289,49367,49392,49407,49667,49726,49727,49736,49816,49948,49994,50061,50105,50223,50281,50319,50350,50424,50456,50556,50607,50699,50707,50724,50733,50757,50809,50885,50926,50943,50946,50988,50996,51017,51128,51143,51148,51168,51419,51445,51450,51531,51579,51620,51644,51688,51784,51949,52063,52066,52287,52420,52448,52662,52734,52738,52798,52873,52998,53003,53004,53127,53132,53243,53467,53488,53648,53664,53715,53759,53773,53800,53955,54000,54027,54071,54090,54099,54188,54341,54357,54394,54432,54471,54526,54580,54638,54695,54738,54739,54744,54764,54812,54859,54907,54927,54936,54975,55008,55197,55246,55335,55429,55484,55499,55512,55701,55833,55865,55874,55952,55954,55977,56125,56127,56140,56144,56177,56223,56378,56460,56507,56575,56637,56641,56643,56718,56803,56835,56896,56898,56968,57013,57027,57066,57076,57194,57218,57256,57291,57332,57402,57507,57522,57526,57564,57673,57819,57900,57903,58108,58185,58251,58273,58275,58344,58346,58393,58488,58541,58545,58565,58619,58666,58740,58773,58906,58997,59054,59184,59187,59247,59248,59368,59378,59388,59485,59612,59619,59646,59963,60011,60054,60084,60133,60244,60350,60397,60398,60567,60583,60628,60741,60752,60766,60782,60815,60901,60902,60976,61026,61140,61191,61217,61248,61446,61538,61543,61657,61768,61781,61821,61857,61957,62054,62076,62174,62182,62204,62252,62280,62286,62312,62329,62338,62340,62373,62577,62609,62636,62672,62746,62757,62774,62780,62861,62883,62949,62976,63012,63149,63212,63234,63318,63417,63421,63428,63670,63803,63885,63931,64009,64050,64060,64109,64126,64137,64176,64197,64326,64375,64394,64455,64460,64557,64629,64669,64723,64727,64775,64783,64851,64852,64995,64999,65006,65054,65078,65093,65317,65337,65347,65426",1550996512.876757,1551008543.153847,293
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.10,"60617,60618,62509","49214,49238,49247,49447,49460,49489,49514,49519,49531,49686,49727,49756,49938,49962,49966,50073,50133,50215,50223,50395,50558,50574,50577,50620,50621,50638,50663,50693,50708,50795,50833,50849,50865,50892,50914,50940,50967,50986,50987,51031,51052,51178,51200,51213,51215,51234,51260,51275,51316,51330,51337,51445,51458,51485,51530,51544,51587,51590,51607,51656,51663,51685,51728,51837,51853,51855,51867,51892,51909,51931,51968,52114,52115,52165,52228,52276,52286,52528,52530,52577,52588,52594,52656,52793,52796,52901,52921,52936,52940,53037,53069,53177,53192,53196,53234,53255,53443,53506,53534,53640,53672,53687,53783,53836,53878,53905,53948,54055,54107,54111,54250,54397,54457,54525,54626,54633,54723,54738,54764,54769,54794,54839,54883,54957,55040,55062,55241,55277,55293,55303,55395,55410,55499,55520,55539,55643,55739,55868,56009,56131,56196,56273,56278,56286,56336,56411,56480,56541,56560,56585,56649,56715,56727,56804,56860,56863,56945,57140,57211,57215,57234,57247,57495,57498,57554,57557,57604,57748,57761,57899,57932,58024,58044,58146,58205,58223,58231,58338,58362,58380,58430,58472,58541,58563,58600,58735,58806,58863,58869,58935,59022,59033,59065,59101,59140,59199,59351,59370,59405,59440,59442,59574,59603,59664,59711,59737,59761,59767,59837,59838,59885,60022,60082,60114,60209,60267,60270,60308,60347,60356,60504,60543,60752,60793,60853,60977,61015,61046,61054,61192,61215,61445,61455,61584,61607,61650,61715,61717,61733,61757,61837,61914,62054,62089,62148,62237,62348,62358,62423,62499,62559,62749,62824,63045,63143,63192,63211,63240,63317,63394,63495,63533,63585,63684,63747,63756,63770,63855,63861,63862,63877,64042,64072,64165,64255,64284,64474,64483,64514,64517,64537,64553,64565,64597,64688,64750,64770,64815,64856,64870,64962,64965,64966,65035,65054,65115,65182,65220,65249,65252,65323,65329,65386,65521,65525,65527",1550996515.706956,1551008485.997133,327
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.7,"51629,52435,53065,53066,61605","49183,49288,49310,49319,49361,49475,49570,49638,49718,49726,49762,49838,49969,49979,50118,50123,50144,50145,50222,50317,50347,50360,50383,50426,50438,50617,50639,50647,50824,50910,50959,50981,51005,51019,51026,51103,51225,51241,51342,51350,51437,51553,51599,51611,51669,51701,51733,51738,51777,51793,51877,51948,51990,52001,52061,52062,52100,52200,52226,52269,52322,52396,52429,52509,52530,52587,52592,52673,52743,52800,52912,52925,52931,52943,53029,53071,53153,53166,53172,53237,53307,53311,53341,53346,53409,53512,53584,53633,53674,53689,53789,53831,53839,53849,53936,53943,53960,53961,53975,54025,54054,54093,54123,54129,54153,54315,54367,54449,54505,54518,54554,54566,54600,54621,54640,54729,54779,54788,54789,54796,54998,55111,55176,55194,55351,55366,55383,55386,55422,55579,55646,55736,55792,55794,55878,55951,56055,56144,56208,56242,56351,56419,56441,56516,56574,56585,56705,56848,56890,56996,57058,57074,57180,57301,57417,57469,57509,57516,57564,57566,57631,57667,57693,57774,57967,58020,58075,58182,58236,58243,58292,58400,58448,58526,58584,58633,58707,58850,58927,59091,59092,59268,59360,59390,59392,59531,59551,59637,59754,59761,59963,59983,60043,60129,60174,60246,60320,60334,60370,60442,60500,60630,60632,60762,60826,60827,60948,60962,61000,61066,61095,61213,61242,61266,61449,61481,61500,61501,61504,61585,61648,61703,61715,61772,61801,61915,62052,62167,62172,62178,62287,62296,62336,62341,62556,62592,62745,62852,62892,62909,62961,63008,63117,63165,63272,63310,63368,63471,63499,63586,63596,63646,63697,63748,63838,63855,63868,63874,63938,63995,64049,64085,64139,64236,64260,64305,64315,64320,64541,64621,64795,65033,65078,65085,65093,65174,65219,65225,65301,65417,65486,65488",1550996516.153202,1551008516.133972,318
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.11,"50335,50336,61904,62338,62339","49160,49198,49249,49285,49333,49411,49476,49486,49537,49541,49683,49704,49714,49748,49756,49811,49832,49939,49991,50036,50038,50063,50140,50217,50263,50351,50379,50396,50451,50544,50554,50631,50721,50803,50823,50851,50866,51023,51120,51166,51187,51269,51416,51606,51700,51724,51735,51797,51810,51864,51880,51884,51888,52130,52225,52298,52380,52387,52397,52453,52490,52540,52572,52574,52668,52720,52756,52795,52861,52888,52939,52977,53019,53027,53107,53139,53141,53153,53158,53251,53258,53274,53332,53379,53399,53415,53457,53498,53544,53563,53624,53627,53667,53690,53734,53745,53753,53825,53829,53854,53937,53938,53965,54009,54099,54101,54116,54159,54238,54254,54299,54337,54375,54455,54563,54578,54585,54615,54637,54640,54647,54733,54744,54842,54958,55107,55147,55222,55297,55327,55376,55442,55460,55471,55502,55505,55712,55713,55781,55793,55823,55880,56001,56017,56030,56174,56227,56410,56450,56518,56609,56683,56840,56858,56872,56982,56987,57109,57114,57130,57178,57253,57279,57358,57426,57542,57584,57679,57775,57859,57903,57932,57938,57979,58031,58246,58342,58492,58598,58699,58829,59005,59039,59054,59061,59074,59161,59313,59473,59662,59762,59800,59913,60075,60176,60212,60234,60416,60449,60528,60564,60603,60712,60976,61045,61057,61061,61121,61123,61428,61515,61731,61754,61797,61838,61937,62022,62105,62170,62237,62400,62436,62454,62467,62471,62511,62631,62672,62705,62739,62760,62774,62794,62899,62909,62953,62980,62999,63052,63061,63086,63144,63163,63368,63508,63528,63612,63703,63709,63772,63839,63927,63966,64044,64106,64224,64273,64387,64492,64535,64573,64579,64623,64762,64817,64922,64931,64939,64949,64970,64972,65219,65221,65430,65474,65491",1550996520.239913,1551008520.229388,314
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.12,62902,"49164,49251,49272,49357,49378,49498,49509,49515,49525,49583,49607,49736,49771,49773,49814,49985,50002,50144,50179,50211,50322,50362,50411,50418,50433,50515,50522,50531,50593,50693,50725,50727,50782,50798,50838,50917,51003,51043,51074,51114,51128,51374,51406,51511,51668,51753,51788,51805,51863,51891,51906,51910,51952,52022,52125,52145,52176,52224,52371,52381,52385,52452,52468,52501,52529,52626,52724,52772,52798,52824,52965,52979,53025,53042,53043,53080,53092,53312,53420,53452,53481,53588,53601,53656,53676,53729,53731,53753,53858,53919,53922,53948,53953,53999,54010,54123,54138,54144,54162,54163,54271,54405,54440,54611,54655,54699,54787,54819,54863,54944,55047,55190,55515,55550,55590,55660,55742,55745,55765,55980,56205,56341,56400,56461,56603,56814,56949,57045,57084,57129,57152,57156,57315,57394,57417,57483,57513,57549,57654,57740,57755,57760,57885,58021,58063,58100,58123,58208,58218,58226,58269,58308,58310,58393,58459,58465,58471,58506,58574,58718,58829,58902,59045,59074,59087,59282,59351,59476,59485,59501,59569,59575,59644,59743,59790,59798,59843,59860,59876,59907,60012,60067,60073,60165,60170,60192,60223,60405,60431,60458,60568,60813,60862,60932,60954,60992,61077,61121,61136,61217,61220,61279,61369,61484,61520,61556,61747,61793,62010,62014,62121,62140,62239,62242,62278,62287,62414,62461,62503,62509,62510,62554,62690,62694,62726,62991,63104,63177,63194,63354,63355,63427,63462,63628,63673,63788,63808,63832,63850,64062,64080,64181,64255,64332,64456,64543,64597,64768,64808,64835,64857,64863,65007,65049,65126,65132,65285,65436,65482",1550996526.369975,1551008526.702909,267
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.13,"49586,55718,64590,64591,64679,65356","49238,49262,49338,49368,49385,49445,49452,49514,49596,49668,49745,49770,49812,49836,49881,49930,49976,50010,50014,50025,50116,50137,50143,50204,50213,50437,50549,50580,50593,50648,50671,50821,50825,50841,50859,50912,50913,51164,51300,51308,51309,51323,51380,51454,51547,51575,51585,51594,51596,51644,51726,51816,51871,51921,52081,52158,52198,52246,52250,52288,52368,52371,52513,52667,52711,52773,52795,52941,52989,53210,53274,53353,53406,53483,53630,53682,53716,53913,53973,53980,54144,54172,54326,54566,54595,54596,54659,54811,54826,54884,54943,54988,54996,55184,55215,55236,55308,55451,55490,55504,55505,55516,55530,55766,55828,55865,55930,56013,56018,56041,56111,56222,56414,56504,56803,56861,56904,56989,57113,57136,57152,57176,57274,57293,57321,57324,57359,57366,57414,57542,57579,57589,57604,57630,57637,57687,57710,57720,57726,57836,57842,57865,57891,57898,57964,57979,57995,58003,58109,58134,58193,58342,58376,58386,58422,58424,58489,58514,58556,58607,58625,58650,58681,58702,58728,58903,58918,58973,59077,59082,59117,59175,59224,59378,59413,59468,59590,59595,59765,59781,59840,59846,59859,59941,59979,60036,60048,60062,60097,60128,60207,60233,60289,60523,60547,60561,60773,60793,60854,60893,60903,60977,60989,61044,61176,61253,61300,61375,61453,61483,61520,61529,61580,61604,61730,61736,61744,61752,61777,61798,61799,61923,61987,62030,62063,62068,62112,62157,62199,62295,62335,62388,62505,62530,62632,62682,62733,62809,62815,62885,62940,63041,63159,63216,63280,63418,63468,63570,63639,63654,63736,63738,63833,63863,63913,63922,64041,64117,64247,64294,64407,64439,64517,64569,64572,64650,64703,64736,64781,64802,64920,65041,65075,65112,65216,65322,65375,65495",1550996528.717053,1551008499.031081,318
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.14,"52730,59315,59316","49161,49184,49232,49360,49402,49443,49466,49504,49550,49580,49581,49631,49669,49740,49817,49844,49931,49988,49996,50028,50085,50089,50150,50175,50230,50264,50287,50442,50526,50529,50651,50829,50870,50909,51033,51057,51074,51113,51307,51348,51478,51485,51496,51659,51765,51773,51800,51827,51869,51872,51958,51966,52134,52142,52176,52188,52191,52235,52323,52393,52404,52466,52505,52618,52672,52771,52875,52896,53005,53047,53077,53098,53194,53342,53344,53402,53463,53569,53609,53665,53790,53798,53817,54031,54128,54194,54401,54445,54515,54518,54677,54728,54779,54850,54898,54956,55042,55180,55188,55226,55234,55451,55472,55603,55613,55616,55638,55660,55721,55750,55767,55810,55874,55954,55961,55965,56046,56107,56120,56131,56259,56264,56335,56361,56406,56437,56461,56496,56529,56612,56632,56652,56762,56763,56787,56790,56919,57137,57181,57189,57262,57273,57300,57324,57328,57355,57462,57470,57528,57531,57542,57557,57565,57598,57659,57735,57791,57932,57961,57962,58023,58044,58049,58213,58237,58259,58265,58326,58373,58381,58461,58494,58624,58642,58687,58750,58756,58836,58878,58901,58904,58915,58985,59052,59142,59313,59317,59366,59403,59404,59417,59429,59541,59587,59625,59678,59862,60024,60102,60210,60231,60298,60321,60326,60353,60377,60499,60525,60682,60713,60721,60748,60783,60831,60874,60876,60878,60886,60936,60967,60978,61029,61125,61141,61146,61150,61232,61246,61319,61349,61377,61382,61393,61523,61558,61616,61635,61647,61649,61655,61732,61802,61820,61833,61937,61962,61997,62002,62007,62031,62044,62200,62238,62282,62288,62463,62674,62872,62930,62942,62993,63141,63225,63259,63325,63406,63465,63486,63507,63535,63750,63815,63819,63858,63905,63973,64086,64102,64111,64148,64213,64374,64399,64406,64546,64620,64642,64728,64732,64825,64855,64908,65034,65055,65081,65146,65164,65172,65229,65372,65520",1550996532.647494,1551008442.936158,321
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.47.178.8,61687,"49306,49353,49409,49563,49623,49647,49680,49708,49714,49791,49815,49836,49964,50038,50055,50181,50228,50314,50352,50379,50422,50444,50567,50572,50598,51096,51188,51231,51321,51402,51407,51524,51528,51582,51615,51644,51697,51972,52023,52158,52179,52214,52332,52371,52379,52562,52628,52645,52667,52782,52793,52811,52822,52886,52915,52933,52963,53002,53034,53060,53123,53189,53252,53297,53310,53342,53414,53495,53509,53586,53626,53643,53723,53804,53941,53951,53978,54043,54075,54122,54133,54231,54270,54415,54520,54575,54663,54671,54674,54677,54682,54735,54789,54798,54832,54836,54844,54959,54992,55014,55063,55078,55158,55240,55282,55286,55355,55482,55511,55519,55536,55560,55608,55643,55685,55730,55793,55811,55855,55881,55948,55970,56024,56070,56081,56082,56210,56261,56279,56293,56317,56361,56477,56503,56539,56580,56662,56704,56750,56806,56931,56950,56964,57023,57047,57118,57188,57201,57390,57462,57471,57666,57711,57727,57748,57792,57798,57806,57866,58067,58082,58133,58218,58276,58291,58314,58368,58486,58511,58538,58552,58623,58637,58649,58702,58753,58802,58850,58901,58940,58949,59046,59104,59163,59193,59216,59279,59314,59364,59367,59406,59461,59573,59656,59699,59706,59725,59808,59854,59924,59973,60057,60068,60079,60129,60132,60211,60212,60240,60249,60481,60504,60543,60649,60670,60730,60749,60838,60841,60921,60965,61033,61088,61184,61236,61355,61375,61423,61451,61608,61635,61757,61922,61960,61973,61991,62034,62139,62169,62181,62207,62227,62232,62255,62310,62333,62401,62416,62431,62479,62598,62660,62667,62856,62896,62897,62907,62928,62933,62942,62999,63118,63207,63219,63337,63339,63346,63357,63364,63388,63473,63600,63655,63673,63687,63848,64029,64049,64166,64283,64439,64501,64634,64674,64689,64698,64703,64772,64779,64892,64999,65050,65109,65140,65152,65270,65402,65416,65424,65445",1550996536.085534,1551008536.074121,309
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.51.119.162,51244,,1550996553.638103,1551008313.25266,239
58:bf:ea:be:b3:80,"Cisco Systems, Inc",10.51.114.114,,,1550996759.043552,1551008279.173119,48
